hemi,region,side,label,
right,NA,coronal,NA, 
left,NA,coronal,NA,
left,thalamus proper,coronal,Left-Thalamus-Proper,
right,thalamus proper,coronal,Right-Thalamus-Proper, 
right,lateral ventricle,coronal,Right-Lateral-Ventricle, 
left,hippocampus,coronal,Left-Hippocampus,
left,lateral ventricle,coronal,Left-Lateral-Ventricle,
right,putamen,coronal,Right-Putamen, 
right,amygdala,coronal,Right-Amygdala, 
left,putamen,coronal,Left-Putamen,
right,ventral DC,coronal,Right-VentralDC, 
left,ventral DC,coronal,Left-VentralDC,
right,hippocampus,coronal,Right-Hippocampus, 
left,amygdala,coronal,Left-Amygdala,
left,pallidum,coronal,Left-Pallidum,
right,pallidum,coronal,Right-Pallidum, 
left,caudate,coronal,Left-Caudate,
right,caudate,coronal,Right-Caudate, 
midline,3rd ventricle,sagittal,x3rd-ventricle,
midline,4th ventricle,sagittal,x4th-ventricle,
midline,brain stem,sagittal,Brain-Stem,
midline,CC anterior,sagittal,CC_Anterior,
midline,CC central,sagittal,CC_Central,
midline,CC mid anterior,sagittal,CC_Mid_Anterior,
midline,CC mid posterior,sagittal,CC_Mid_Posterior,
midline,CC posterior,sagittal,CC_Posterior,
midline,cerebellum cortex,sagittal,Right-Cerebellum-Cortex,
midline,cerebellum white matter,sagittal,Right-Cerebellum-White-Matter,
midline,NA,sagittal,NA,