region,hemi,network,region_x,SA,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
17Networks_LH_VisCent_ExStr_1,LH,VisCentExStr,17Networks_LH_VisCent_ExStr_1,73.45454545454545,29.39437709790093,-0.7616835353222811,48.42004978533264,1.8100065493445505,0.3154644501939924,4.632402731511752,9.257232354804152,1.262227528064284,14.390010060404313,-0.27682781368460496,28.721328549270652,817.3652394541808,15.026576699177435,2.9866861929476243,-0.7216704243362636,10.554860723540317,-0.023629308534480274,6.613183615376356,-0.1871735143166535
17Networks_LH_VisCent_ExStr_2,LH,VisCentExStr,17Networks_LH_VisCent_ExStr_2,73.45454545454545,29.39437709790093,-0.7616835353222811,48.42004978533264,1.8100065493445505,0.3154644501939924,4.632402731511752,9.257232354804152,1.262227528064284,14.390010060404313,-0.27682781368460496,28.721328549270652,817.3652394541808,15.026576699177435,2.9866861929476243,-0.7216704243362636,10.554860723540317,-0.023629308534480274,6.613183615376356,-0.1871735143166535
17Networks_LH_VisCent_Striate_1,LH,VisCentStriate,17Networks_LH_VisCent_Striate_1,8.0,37.85912000421938,-2.6091551802898088,26.70664346410049,1.4734658178935776,0.07577423831157196,4.62688897789589,9.330565465115567,1.174463165264554,11.688894172213931,-0.32665516010341383,31.875755472386132,570.2848557223792,14.96747237673018,1.7982535353803346,-1.6612259467954855,11.27445705724708,-0.050985154744989054,5.506634311305829,-0.029416034880244156
17Networks_LH_VisCent_ExStr_3,LH,VisCentExStr,17Networks_LH_VisCent_ExStr_3,73.45454545454545,29.39437709790093,-0.7616835353222811,48.42004978533264,1.8100065493445505,0.3154644501939924,4.632402731511752,9.257232354804152,1.262227528064284,14.390010060404313,-0.27682781368460496,28.721328549270652,817.3652394541808,15.026576699177435,2.9866861929476243,-0.7216704243362636,10.554860723540317,-0.023629308534480274,6.613183615376356,-0.1871735143166535
17Networks_LH_VisPeri_ExStrInf_1,LH,VisPeriExStrInf,17Networks_LH_VisPeri_ExStrInf_1,48.4,22.86377272858507,-0.5733744517385742,47.907018145528426,1.731839388762149,0.2406828786318334,4.83726668350583,8.285798070422487,1.1612608562083948,11.622983888731921,-0.7934215631065981,26.805860033758922,742.341576725334,13.864727292351166,3.0353525356818407,-1.0086496094704718,7.660259661745167,-0.056395414089300135,5.994409841502072,-0.2373150072369762
17Networks_LH_VisPeri_StriCal_1,LH,VisPeriStriCal,17Networks_LH_VisPeri_StriCal_1,2.0,15.858013077345586,2.5753852628834197,53.36626488504314,1.5875160939161055,0.47728706993855075,4.96943682005549,9.341855285162932,1.1586122061527893,12.14593002919342,-0.8612086043870697,26.752024531051553,893.1087921303088,15.775827098416364,4.318745219082588,-0.7356234947613651,1.432573931679971,0.054027537211637,6.523826267481754,-0.2003135536529855
17Networks_LH_VisPeri_ExStrSup_1,LH,VisPeriExStrSup,17Networks_LH_VisPeri_ExStrSup_1,30.3,18.00694465781204,0.7162886234872864,50.68850937510773,1.8237472606272427,0.36710760989567864,5.590252956407221,8.85873729167121,1.156548677959143,13.37356711365704,-0.8301279573740248,27.335706924147615,805.9809931403846,15.06841899842353,3.8071278371349715,-0.5728978848260262,6.958022132768304,-0.004166906344916564,6.400000579496899,-0.16208496522115493
17Networks_LH_SomMotA_1,LH,SomMotA1,17Networks_LH_SomMotA_1,88.0,22.324554099583697,0.4178228785206291,49.93668365696001,1.7216976257115433,0.4462645107371823,5.740761450786003,8.704373703554383,1.1590034079309943,13.377411925715522,-0.7413636639954794,26.05160403814841,843.4548190992922,14.580864459790735,4.018998900483033,0.019712984135002783,2.7976001328788698,0.032694756272627926,6.518168347120475,-0.22415498286044705
17Networks_LH_SomMotA_2,LH,SomMotA2,17Networks_LH_SomMotA_2,38.0,23.944295063473493,0.9645553690975248,55.32763807628076,1.9636628574048969,0.554039367804364,6.428839393848545,9.63528611086994,1.1580510035137344,14.660766128447756,-0.6004852895773237,29.900078173036928,887.1549103158198,16.85241326052896,4.283179062517523,0.525994158098074,6.48438780799188,0.06699271053618304,7.224003282706506,-0.08843380791831001
17Networks_LH_SomMotB_Aud_1,LH,SomMotBAud,17Networks_LH_SomMotB_Aud_1,147.0,21.81613820657534,0.4057809395105992,44.7478142642952,1.6980728503508808,0.35321250045143104,5.040844190102784,10.700724940156807,1.3122704405083923,9.363227529874255,-0.47015192680094986,27.390913784521402,705.6254434989858,18.238557839701535,3.539831621927302,-0.21453252710934137,16.698277638753368,0.1555351196622421,6.193273455513727,0.28475477463760757
17Networks_LH_SomMotB_S2_1,LH,SomMotBS2,17Networks_LH_SomMotB_S2_1,121.83333333333333,20.332176093271954,-0.09328409148441204,41.15787470144246,1.5419074487795328,0.3120465342043544,4.720971000218353,9.99141100780606,1.2849661712636422,8.847954712517593,-0.5515757918584997,25.76753348348252,669.0866645535187,16.084102397681587,3.427439014138262,-0.661302319451667,13.028274464866543,0.11124010316618249,5.934839233165742,0.12513365903226392
17Networks_LH_SomMotB_S2_2,LH,SomMotBS2,17Networks_LH_SomMotB_S2_2,121.83333333333333,20.332176093271954,-0.09328409148441204,41.15787470144246,1.5419074487795328,0.3120465342043544,4.720971000218353,9.99141100780606,1.2849661712636422,8.847954712517593,-0.5515757918584997,25.76753348348252,669.0866645535187,16.084102397681587,3.427439014138262,-0.661302319451667,13.028274464866543,0.11124010316618249,5.934839233165742,0.12513365903226392
17Networks_LH_SomMotB_Cent_1,LH,SomMotBCent,17Networks_LH_SomMotB_Cent_1,74.8,20.538300638953594,-0.40353982255760695,42.36852130018844,1.5894696983573342,0.29672094432230284,4.369763200833863,9.696247512152647,1.2482497615909547,8.868514335644035,-0.823223667303908,24.940347076255264,660.4508949172521,17.449429321954934,3.280335176045246,-0.8585962976365767,15.552914229368744,0.13313631016439448,6.253742422728886,0.19388657984816127
17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnATempOcc,17Networks_LH_DorsAttnA_TempOcc_1,207.25,20.585678722002157,-0.6502651081550086,36.95008688049857,1.4165828102435953,0.2713849877252506,4.066738050979345,9.5930867641599,1.1991781257351288,7.9863316946478875,-0.9578905826316332,22.578351966973415,637.3202554880423,15.677817905633068,3.035491355530762,-1.1215849405379315,14.917584866730131,0.10993617376195805,5.936842806281113,0.04481281294086635
17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnAParOcc,17Networks_LH_DorsAttnA_ParOcc_1,128.5,20.570102860994197,-0.6549947361038451,38.498871204367546,1.392449555269918,0.24617809042163424,3.8304863116297856,9.38111163006066,1.1989536412775081,7.114967970793069,-1.1618800904249207,20.874337465574577,639.2661552634036,18.168469479864953,2.9682242822107012,-1.1825289418919565,16.909165912176515,0.15409346677173702,5.83001262417832,0.1368040443271605
17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnASPL,17Networks_LH_DorsAttnA_SPL_1,129.07142857142858,28.981886945942033,-0.42070701724897247,47.30752297676004,1.9841451813116753,0.38901391702147425,4.189606724643127,9.566317986300072,1.2604722749610249,10.848875286656753,0.048638718681349065,24.89249663877084,709.9318656815641,15.247349481771938,3.536057882385047,-0.3874652034449096,17.33235515467035,0.08529373846779288,6.202329752932146,-0.04108970494052041
17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnBPostC,17Networks_LH_DorsAttnB_PostC_1,139.44444444444446,26.016905572168852,-0.24651137825219716,48.10637963753745,2.064559052379537,0.3659443524357883,3.6218693555279646,9.706113123038815,1.2513479743576637,11.265111171470368,-0.3139965025335521,25.65848220735071,709.7908160335395,14.439237012474141,3.5149667321012377,-0.41069213318798503,18.22804242139095,0.006142357644480078,6.315331847582552,-0.19556029067040034
17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnBPostC,17Networks_LH_DorsAttnB_PostC_2,139.44444444444446,26.016905572168852,-0.24651137825219716,48.10637963753745,2.064559052379537,0.3659443524357883,3.6218693555279646,9.706113123038815,1.2513479743576637,11.265111171470368,-0.3139965025335521,25.65848220735071,709.7908160335395,14.439237012474141,3.5149667321012377,-0.41069213318798503,18.22804242139095,0.006142357644480078,6.315331847582552,-0.19556029067040034
17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnBPostC,17Networks_LH_DorsAttnB_PostC_3,139.44444444444446,26.016905572168852,-0.24651137825219716,48.10637963753745,2.064559052379537,0.3659443524357883,3.6218693555279646,9.706113123038815,1.2513479743576637,11.265111171470368,-0.3139965025335521,25.65848220735071,709.7908160335395,14.439237012474141,3.5149667321012377,-0.41069213318798503,18.22804242139095,0.006142357644480078,6.315331847582552,-0.19556029067040034
17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnBFEF,17Networks_LH_DorsAttnB_FEF_1,197.66666666666666,21.260113706680094,-1.1130388765080939,45.336876532287135,1.9746109980034412,0.2759175569361733,3.1809148410078056,8.90358513413636,1.272339242418427,8.411782549006237,-0.5349750048047116,21.03017653787498,640.2371474338438,14.940996958048197,3.5600594885385104,-0.6570867616498334,17.55445531884168,-0.039010274418284814,5.285894343444663,-0.26139168115637906
17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnAParOper,17Networks_LH_SalVentAttnA_ParOper_1,251.66666666666666,25.464082555393542,0.5636722882916891,54.398539248903575,1.8979438896955922,0.3848948047446213,3.6493252083238317,10.789359504799144,1.2297419653279527,11.749181108370594,-0.7425886178198371,26.68825143680476,755.9786392984132,17.70377018154467,2.887277396193429,-0.18377520420210192,23.89141696997861,0.046688901652096,6.755055301840534,0.08052725432714931
17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnAIns,17Networks_LH_SalVentAttnA_Ins_1,248.625,27.582261089547906,0.6764833097450158,56.3542022957687,2.1739912132578496,0.4397948117633544,3.9940310653883344,10.69540214905719,1.316368426646232,11.163855329665193,-0.28594830945430505,25.98454532626649,736.7904730729805,18.014049916838744,3.581346885057248,0.2823180463899899,24.902061105736777,0.050228276636002864,6.196996996211559,0.0184503008807827
17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnAIns,17Networks_LH_SalVentAttnA_Ins_2,248.625,27.582261089547906,0.6764833097450158,56.3542022957687,2.1739912132578496,0.4397948117633544,3.9940310653883344,10.69540214905719,1.316368426646232,11.163855329665193,-0.28594830945430505,25.98454532626649,736.7904730729805,18.014049916838744,3.581346885057248,0.2823180463899899,24.902061105736777,0.050228276636002864,6.196996996211559,0.0184503008807827
17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnAParMed,17Networks_LH_SalVentAttnA_ParMed_1,142.66666666666666,36.33475883154234,-0.1704113560290849,55.12647539928593,2.5447796512543346,0.4229522895911617,5.432396131196273,9.269796877725652,1.408886706475072,12.593078755013861,0.9918546069201845,27.13929160687023,729.2468394050678,16.924533914916054,3.799567373156764,0.4162460757961066,25.65446450024774,-0.007342726439243101,5.766022902512227,-0.04214817460035739
17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnAFrMed,17Networks_LH_SalVentAttnA_FrMed_1,201.0,44.248527802929544,0.018266299040095395,49.067727568793565,2.2910572251425703,0.5748742240618455,8.493998641978811,10.171602779967884,1.3994213891706595,20.78555202406051,2.982678517947822,36.29779400624531,835.1469224805052,22.39032769520144,3.9641832758206212,0.8247057296553059,32.222957160254154,0.0143487173047678,7.295332568118812,0.7371757722131447
17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnBPFCl,17Networks_LH_SalVentAttnB_PFCl_1,359.5,36.96097123184304,0.5789536819954749,60.677263073669316,2.4681489221001653,0.6112223460398977,6.5414527264064946,10.554131032039379,1.3687497444469745,18.208551141646364,2.084014487677447,34.98902141094425,887.8684617666039,21.01145096266285,3.8525768458979925,1.589124041544225,32.43092950978571,0.011180064709666133,7.5896547248906465,0.5398118255575611
17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnBPFCmp,17Networks_LH_SalVentAttnB_PFCmp_1,277.5,29.385288287990484,0.3302997931712874,53.86230248119938,2.208132756401048,0.39379253054135727,7.265542150090093,10.873777007115512,1.4019002654050523,16.768629828725206,-0.1318850720615701,30.871671215180427,794.8562286257587,22.84397109966529,3.5595612412612687,0.9473931716239502,32.26209830656092,0.12255611775337552,6.397145335120312,0.7518941709624034
17Networks_LH_LimbicB_OFC_1,LH,LimbicBOFC,17Networks_LH_LimbicB_OFC_1,295.5,26.245379707210752,-0.16143794265742906,52.36885528945756,2.0742976856028843,0.40552103301281833,4.606400821832594,10.308748887678181,1.3112942253424738,12.93235334014003,-0.4058122926848924,26.98974728667897,721.5491738291379,20.395386084659272,3.6486542872630685,0.361168390247427,24.382248593546645,0.07321516153134275,6.5705255144397885,0.14839666341651264
17Networks_LH_LimbicA_TempPole_1,LH,LimbicATempPole,17Networks_LH_LimbicA_TempPole_1,260.07142857142856,39.75236576627338,-0.5497600300474154,53.08826300092437,2.2959355490651174,0.3138834602394019,5.991542725243343,9.031470491901777,1.4033179292391382,17.77694095376188,0.9249391035553831,29.864571111847255,636.444420644924,18.766843768849462,3.7832040052633253,-0.07572612042158776,31.131652482640543,-0.09175471558819766,6.519508220189009,0.03311354066994926
17Networks_LH_LimbicA_TempPole_2,LH,LimbicATempPole,17Networks_LH_LimbicA_TempPole_2,260.07142857142856,39.75236576627338,-0.5497600300474154,53.08826300092437,2.2959355490651174,0.3138834602394019,5.991542725243343,9.031470491901777,1.4033179292391382,17.77694095376188,0.9249391035553831,29.864571111847255,636.444420644924,18.766843768849462,3.7832040052633253,-0.07572612042158776,31.131652482640543,-0.09175471558819766,6.519508220189009,0.03311354066994926
17Networks_LH_ContA_IPS_1,LH,ContAIPS,17Networks_LH_ContA_IPS_1,235.4,45.74090670338008,-1.9300575435323786,44.35164049018576,2.2816606993743322,0.29964263811476444,5.794462455575119,8.35658511775959,1.3384212883322106,13.373062903452459,1.3517827375033062,30.022470045493957,538.7992059393176,14.487578688616868,3.288316727282475,-0.9699134857983897,22.90031117486432,-0.11561383581205294,6.116168058224459,-0.16335017298698554
17Networks_LH_ContA_PFCl_1,LH,ContAPFCl,17Networks_LH_ContA_PFCl_1,283.5,28.349525463406067,0.26217197131410436,59.05751202827306,2.3766891736453544,0.46274045583751855,3.278747518375947,10.23138387382835,1.3224156529694875,12.577581957515813,0.1576775919058632,24.21323685824761,773.8724819961241,16.442047247145393,4.044418049703754,0.23334579271322511,21.41691258467958,0.02747982365734507,6.449517172213221,-0.19336515966867163
17Networks_LH_ContA_PFCl_2,LH,ContAPFCl,17Networks_LH_ContA_PFCl_2,283.5,28.349525463406067,0.26217197131410436,59.05751202827306,2.3766891736453544,0.46274045583751855,3.278747518375947,10.23138387382835,1.3224156529694875,12.577581957515813,0.1576775919058632,24.21323685824761,773.8724819961241,16.442047247145393,4.044418049703754,0.23334579271322511,21.41691258467958,0.02747982365734507,6.449517172213221,-0.19336515966867163
17Networks_LH_ContB_PFClv_1,LH,ContBPFClv,17Networks_LH_ContB_PFClv_1,375.6666666666667,28.87904401477436,1.000265657277845,56.94275044053621,2.1242492399858817,0.43834473880692887,4.143341890849739,11.103652557208996,1.2858023122777846,12.818766975338567,-0.513353449337744,27.266810413803526,767.4989046708737,16.50596699339073,3.268441886112496,0.3463991507977416,27.243502122893045,0.010433821346662417,6.37762996025683,-0.06461778242666757
17Networks_LH_ContC_pCun_1,LH,ContCpCun,17Networks_LH_ContC_pCun_1,147.66666666666666,23.646544186587445,-0.7832972968570414,46.972110849670834,2.0118680531130044,0.3323079696182328,4.5666642670902915,9.540857514612375,1.276940408588012,12.367082278021416,-0.4412155900067117,26.346981341646323,721.5565706136912,17.38825854914407,3.4623930373700307,-0.09194905821656181,17.1417367096339,0.01157428391548433,5.90481852055515,0.007873723253061257
17Networks_LH_ContC_pCun_2,LH,ContCpCun,17Networks_LH_ContC_pCun_2,147.66666666666666,23.646544186587445,-0.7832972968570414,46.972110849670834,2.0118680531130044,0.3323079696182328,4.5666642670902915,9.540857514612375,1.276940408588012,12.367082278021416,-0.4412155900067117,26.346981341646323,721.5565706136912,17.38825854914407,3.4623930373700307,-0.09194905821656181,17.1417367096339,0.01157428391548433,5.90481852055515,0.007873723253061257
17Networks_LH_ContC_Cingp_1,LH,ContCCingp,17Networks_LH_ContC_Cingp_1,151.75,23.711085413790897,-0.31334372951893097,50.43217236489021,1.765998100476006,0.2974047120758142,4.326668188772115,9.57634125541242,1.1541745662820533,12.094652158175531,-0.8585114682983074,28.145315133216005,760.2902458535905,17.94322585528479,2.8758365051791905,-0.5953999501115302,19.792215392294192,-0.037520841923982334,6.050890951766668,0.023073352619792
17Networks_LH_DefaultA_PFCd_1,LH,DefaultAPFCd,17Networks_LH_DefaultA_PFCd_1,366.6666666666667,40.99065570776421,-0.600199270282601,59.43981453557055,2.7116598233509337,0.5240421561550973,4.601963692044856,9.179130165191387,1.3997965313424785,13.686715454931617,1.837089187960717,27.04170989598204,720.4119882613833,16.32780759243983,4.028090533254243,0.4619359077556396,25.859616277669236,-0.009757325676628919,6.49397898477434,-0.0466724673167262
17Networks_LH_DefaultA_pCunPCC_1,LH,DefaultApCunPCC,17Networks_LH_DefaultA_pCunPCC_1,267.14285714285717,33.203935993535296,0.13335823005800912,60.36111013258182,2.676693932301473,0.5238150067572104,4.776705525551445,9.815622458056238,1.336015006456924,13.421201477421073,0.9798052527305278,27.90563452767416,777.5100890753029,16.179128710114625,3.888654956919108,0.5721777959582057,22.156717780129593,0.03235560732501351,6.661727838975167,0.028914894479874723
17Networks_LH_DefaultA_PFCm_1,LH,DefaultAPFCm,17Networks_LH_DefaultA_PFCm_1,356.8333333333333,26.507401257687878,0.14697435474536397,57.870265561097646,2.5593179101961696,0.37905026968389127,4.057573485066644,9.433957660739713,1.384149336243061,11.506746790048764,0.2185306461674038,24.810330363236904,714.6391489065368,15.90078802313856,3.7337038440309596,0.3981490619447339,23.129143021101488,-0.04405561163838526,5.483097395072124,-0.18682526631730656
17Networks_LH_DefaultB_Temp_1,LH,DefaultBTemp,17Networks_LH_DefaultB_Temp_1,350.6666666666667,32.433131402244676,0.8263974434805735,57.8837517437581,2.261997881638461,0.49022658999953744,4.932048094048373,10.363801708449706,1.4031759817291884,17.04314310517018,0.1524229230905535,28.14068696592884,791.0254012102745,19.613770590791244,3.7644055715268663,0.5792384078105414,28.31822517538984,0.013443960672694098,6.587233209429914,0.042771265874031066
17Networks_LH_DefaultB_Temp_2,LH,DefaultBTemp,17Networks_LH_DefaultB_Temp_2,350.6666666666667,32.433131402244676,0.8263974434805735,57.8837517437581,2.261997881638461,0.49022658999953744,4.932048094048373,10.363801708449706,1.4031759817291884,17.04314310517018,0.1524229230905535,28.14068696592884,791.0254012102745,19.613770590791244,3.7644055715268663,0.5792384078105414,28.31822517538984,0.013443960672694098,6.587233209429914,0.042771265874031066
17Networks_LH_DefaultB_IPL_1,LH,DefaultBIPL,17Networks_LH_DefaultB_IPL_1,320.75,36.55587815136341,0.8482475512328838,58.29186129619869,2.2799993583408575,0.5318337751095332,4.779427092964616,10.210141573071828,1.449500797504493,18.36849995019075,0.24821616270506255,27.84624413350825,816.8253008633869,24.247692888719463,3.9828096786809306,1.2631154475753825,32.8608076214106,0.023335116319426058,6.60049359920201,0.10427056017471217
17Networks_LH_DefaultB_PFCd_1,LH,DefaultBPFCd,17Networks_LH_DefaultB_PFCd_1,343.3333333333333,32.62510422867363,0.6487152589527635,56.313826328412226,2.1964213189106463,0.4255732042936599,4.42146001308445,10.528802673078816,1.4085301754832031,12.51366434158963,-0.1397666407857657,24.77501192205385,704.6058679240231,20.325947951957495,3.8499272692726003,0.23790658967905232,28.451884477235975,-0.02276572779611626,5.375457732500341,-0.08268247770878227
17Networks_LH_DefaultB_PFCl_1,LH,DefaultBPFCl,17Networks_LH_DefaultB_PFCl_1,353.5,26.88302895210935,0.8044353822847996,58.835819854223224,2.1503045216465777,0.47137019482001974,3.572075547139952,11.134709481456657,1.351693222702357,11.054327306379129,-0.47374302542651203,24.667237806489084,755.5788036047505,19.26124881263701,3.6578858459465167,0.022073688221446813,27.730511352547676,0.0024928251072768937,5.527462811105579,-0.16378397291539817
17Networks_LH_DefaultB_PFCv_1,LH,DefaultBPFCv,17Networks_LH_DefaultB_PFCv_1,334.0,25.140454111536513,0.32388284517624566,57.481655283918144,2.0710948522928527,0.40288654210003444,3.2873434910200325,10.662953912396379,1.310937083616062,9.141878836937755,-0.5986150761449484,23.047939880584124,685.0358942189553,18.62532157485831,3.5433148271812542,-0.428716008967017,25.573888526186153,-0.04191894457595219,5.642239064457909,-0.23592167188377622
17Networks_LH_DefaultB_PFCv_2,LH,DefaultBPFCv,17Networks_LH_DefaultB_PFCv_2,334.0,25.140454111536513,0.32388284517624566,57.481655283918144,2.0710948522928527,0.40288654210003444,3.2873434910200325,10.662953912396379,1.310937083616062,9.141878836937755,-0.5986150761449484,23.047939880584124,685.0358942189553,18.62532157485831,3.5433148271812542,-0.428716008967017,25.573888526186153,-0.04191894457595219,5.642239064457909,-0.23592167188377622
17Networks_LH_DefaultC_Rsp_1,LH,DefaultCRsp,17Networks_LH_DefaultC_Rsp_1,148.33333333333334,23.765392129329275,-0.21906481376725698,53.360819164477654,2.0127190471136394,0.3453260150126103,4.58386722212362,9.115086847271167,1.1936006959571166,15.35838091524243,-0.7864869435718981,26.610261607014277,749.2707388806999,18.195006634171673,3.418049936469391,-0.37585462164796374,16.523196242326012,-0.03494159032637149,6.740434377985001,-0.13957108198034293
17Networks_LH_DefaultC_PHC_1,LH,DefaultCPHC,17Networks_LH_DefaultC_PHC_1,161.33333333333334,24.993146025613445,-0.3412515772506251,51.63972539740438,2.035118160145465,0.41667157672291255,4.7753960061523095,9.282750859129335,1.1941808994845198,17.098023678135373,-0.7882066307245905,29.807419266787022,832.9660066810012,15.967115308331651,3.46093237253759,0.0525752430994435,13.709060591205345,-0.0148145081834508,6.98583166040487,-0.01641325910743819
